(-15.58, -4.11)  -  656
(-6.34, -5.74)  -  657
(-12.55, -14.09)  -  658
(-7.12, -5.19)  -  659
(-13.04, -8.65)  -  660
(-10.23, -14.15)  -  661
(-12.91, -7.59)  -  662
(-4.25, -5.12)  -  663
(-6.73, -7.27)  -  664
(-3.86, -2.96)  -  665
(-9.38, -2.41)  -  666
(-10.66, -11.76)  -  667
(-6.66, -8.59)  -  668
(-11.03, -0.56)  -  669
(-10.69, -5.55)  -  670
(-12.95, -2.56)  -  671
(-12.97, -0.20)  -  672
(-12.54, -13.53)  -  673
(-8.35, -14.69)  -  674
(-12.69, -6.28)  -  675
(-3.56, -10.33)  -  676
(-8.47, -14.46)  -  677
(-5.18, -12.49)  -  678
(-3.96, -8.56)  -  679
(-13.12, -13.53)  -  680
(-0.15, -12.82)  -  681
(-4.18, -13.25)  -  682
(-11.77, -4.81)  -  683
(-14.08, -8.95)  -  684
(-11.67, 0.35)  -  685
(-11.54, -7.57)  -  686
(-4.41, -8.67)  -  687
(-9.46, -9.75)  -  688
(-6.37, -13.22)  -  689
(-7.94, -5.18)  -  690
(-9.99, -7.08)  -  691
(-9.59, -2.54)  -  692
(-7.55, -2.19)  -  693
(-0.39, -4.27)  -  694
(-3.84, -2.19)  -  695
(-3.17, -0.53)  -  696
(-3.73, -9.33)  -  697
(-11.47, -0.48)  -  698
(-7.85, -7.83)  -  699
(-11.44, -15.87)  -  700
(-13.21, -8.40)  -  701
(-11.80, -4.47)  -  702
(-5.24, -4.08)  -  703
(-8.41, -5.57)  -  704
(-5.60, -14.47)  -  705
(-4.29, -11.43)  -  706
(-13.95, -14.84)  -  707
(-2.77, -9.33)  -  708
(-10.36, -10.06)  -  709
(-3.03, -6.43)  -  710
(-11.26, -1.31)  -  711
(-3.76, -5.12)  -  712
(-9.17, -12.10)  -  713
(-9.53, -7.97)  -  714
(-5.21, 0.07)  -  715
(-5.92, -7.21)  -  716
(-10.73, -9.20)  -  717
(-10.60, -8.56)  -  718
(-15.10, -15.94)  -  719
(-2.43, -8.43)  -  720
(-15.29, -15.62)  -  721
(-11.20, -11.93)  -  722
(-7.98, -2.98)  -  723
(-9.52, -5.79)  -  724
(-2.97, -3.24)  -  725
(-7.89, -13.92)  -  726
(-8.02, -10.06)  -  727
(-11.23, -10.59)  -  728
(-7.28, -12.15)  -  729
(-9.44, -3.97)  -  730
(-14.07, -2.74)  -  731
(-14.60, -11.59)  -  732
(-4.11, -3.07)  -  733
(-12.28, -2.08)  -  734
(0.45, -11.32)  -  735
(-4.79, -7.87)  -  736
